,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nba.g.2024020306,2024-02-03-10:00,Milwaukee,Dallas,"-3.5, O/U 248.5",248.5,65.22,65.39,-105,1.950,False,248.5,34.79,34.61,-115,1.870,True,-165,1.600,92.41,87.33,True,140,2.400,7.59,12.67,False,-3.5,-115,1.870,53.55,58.59,True,3.5,-105,1.950,46.45,41.41,False
0,nba.g.2024020318,2024-02-03-10:00,LA Lakers,New York,"-2.5, O/U 227.5",227.5,91.13,92.7,-105,1.950,False,227.5,8.87,7.3,-115,1.870,True,110,2.100,28.34,23.5,True,-135,1.750,71.67,76.5,False,2.5,-110,1.910,57.96,59.63,True,-2.5,-110,1.910,42.04,40.37,False
0,nba.g.2024020320,2024-02-03-10:00,Brooklyn,Philadelphia,"-1.5, O/U 231.5",231.5,80.52,77.69,-110,1.910,True,231.5,19.48,22.31,-110,1.910,False,100,2.000,10.62,11.36,True,-120,1.830,89.39,88.64,False,1.5,-115,1.870,45.25,35.64,True,-1.5,-105,1.950,54.75,64.36,False
0,nba.g.2024020324,2024-02-03-10:00,Cleveland,San Antonio,"-9.5, O/U 231.5",231.5,78.73,80.65,-115,1.870,False,231.5,21.27,19.35,-105,1.950,True,-500,1.200,78.56,92.73,True,375,4.750,21.45,7.27,False,-9.5,-115,1.870,50.94,43.77,True,9.5,-105,1.950,49.06,56.23,False
0,nba.g.2024020402,2024-02-04-10:00,Memphis,Boston,"-19.5, O/U 220.5",220.5,87.92,89.67,-105,1.950,True,220.5,12.08,10.33,-115,1.870,False,1350,14.500,68.38,5.43,False,-5000,1.020,31.63,94.57,True,19.5,-110,1.910,37.87,66.04,False,-19.5,-110,1.910,62.13,33.96,True
0,nba.g.2024020407,2024-02-04-10:00,Portland,Denver,"-14.5, O/U 221.5",221.5,91.27,92.92,-110,1.910,False,221.5,8.72,7.08,-110,1.910,True,850,9.500,19.98,6.71,False,-1600,1.060,80.03,93.29,True,14.5,-105,1.950,47.4,52.99,True,-14.5,-115,1.870,52.6,47.01,False
0,nba.g.2024020408,2024-02-04-10:00,Orlando,Detroit,"-6.5, O/U 231.5",231.5,74.52,73.66,-105,1.950,False,231.5,25.5,26.34,-115,1.870,True,-250,1.400,84.26,90.37,True,200,3.000,15.74,9.63,False,-6.5,-110,1.910,67.97,62.24,True,6.5,-110,1.910,32.03,37.76,False
0,nba.g.2024020414,2024-02-04-10:00,LA Clippers,Miami,"-5.5, O/U 223.5",223.5,79.2,82.82,-110,1.910,False,223.5,20.8,17.18,-110,1.910,True,-210,1.480,82.35,77.27,True,170,2.700,17.64,22.73,False,-5.5,-110,1.910,62.62,66.63,True,5.5,-110,1.910,37.38,33.37,False
0,nba.g.2024020416,2024-02-04-10:00,Houston,Minnesota,"-7.5, O/U 221.5",221.5,85.89,89.26,-115,1.870,False,221.5,14.12,10.74,-105,1.950,True,260,3.600,4.47,8.29,False,-350,1.300,95.53,91.71,True,7.5,-105,1.950,44.83,48.61,False,-7.5,-115,1.870,55.17,51.39,True
0,nba.g.2024020425,2024-02-04-10:00,Toronto,Oklahoma City,"-8.5, O/U 237.5",237.5,75.26,78.08,-110,1.910,True,237.5,24.75,21.92,-110,1.910,False,290,3.900,4.97,7.26,False,-375,1.260,95.02,92.74,True,8.5,-110,1.910,43.27,36.74,True,-8.5,-110,1.910,56.73,63.26,False
0,nba.g.2024020426,2024-02-04-10:00,Milwaukee,Utah,"-2.5, O/U 249.5",249.5,70.38,72.08,-110,1.910,False,249.5,29.63,27.92,-110,1.910,True,110,2.100,49.6,41.44,False,-135,1.750,50.41,58.56,True,2.5,-115,1.870,55.4,70.49,False,-2.5,-105,1.950,44.6,29.51,True
0,nba.g.2024020427,2024-02-04-10:00,Phoenix,Washington,"-11.5, O/U 240.5",240.5,63.97,65.79,-105,1.950,True,240.5,36.02,34.21,-115,1.870,False,-600,1.170,80.78,91.74,True,425,5.250,19.22,8.26,False,-11.5,-105,1.950,54.27,50.72,True,11.5,-115,1.870,45.73,49.28,False
0,nba.g.2024020430,2024-02-04-10:00,Indiana,Charlotte,"-11.5, O/U 237.5",237.5,74.63,83.94,-110,1.910,False,237.5,25.36,16.06,-110,1.910,True,-650,1.160,87.03,92.4,True,450,5.500,12.97,7.6,False,-11.5,-110,1.910,70.23,64.35,True,11.5,-110,1.910,29.77,35.65,False
0,nba.g.2024020501,2024-02-05-10:00,LA Clippers,Atlanta,"-4.5, O/U 245.5",245.5,75.19,74.7,-110,1.910,True,245.5,24.8,25.3,-110,1.910,False,-185,1.550,88.84,65.32,True,150,2.500,11.16,34.68,False,-4.5,-105,1.950,75.73,80.51,True,4.5,-115,1.870,24.27,19.49,False
0,nba.g.2024020503,2024-02-05-10:00,Toronto,New Orleans,"-10.5, O/U 231.5",231.5,69.9,71.61,-110,1.910,True,231.5,30.1,28.39,-110,1.910,False,375,4.750,20.46,8.02,False,-500,1.200,79.54,91.98,True,10.5,-110,1.910,75.29,75.92,False,-10.5,-110,1.910,24.71,24.08,True
0,nba.g.2024020505,2024-02-05-10:00,Sacramento,Cleveland,"-4.5, O/U 234.5",234.5,81.79,81.78,-115,1.870,True,234.5,18.22,18.22,-105,1.950,False,155,2.550,14.24,14.52,False,-190,1.530,85.75,85.48,True,4.5,-110,1.910,80.63,80.65,False,-4.5,-110,1.910,19.37,19.35,True
0,nba.g.2024020517,2024-02-05-10:00,Golden State,Brooklyn,"-1.5, O/U 238.5",238.5,86.54,85.62,-110,1.910,False,238.5,13.46,14.38,-110,1.910,True,-115,1.870,57.88,39.84,True,-105,1.950,42.13,60.16,False,-1.5,100,2.000,61.41,64.64,True,1.5,-120,1.830,38.59,35.36,False
0,nba.g.2024020520,2024-02-05-10:00,Dallas,Philadelphia,"-2.5, O/U 242.5",242.5,64.22,63.21,-105,1.950,False,242.5,35.77,36.79,-115,1.870,True,-135,1.750,70.21,61.43,True,110,2.100,29.78,38.57,False,-2.5,-105,1.950,38.7,32.82,True,2.5,-115,1.870,61.3,67.18,False
0,nba.g.2024020530,2024-02-05-10:00,LA Lakers,Charlotte,"-13.5, O/U 228.5",228.5,83.69,85.63,-105,1.950,True,228.5,16.3,14.37,-115,1.870,False,-900,1.110,78.7,91.59,True,600,7.000,21.3,8.41,False,-13.5,-110,1.910,75.11,74.87,False,13.5,-110,1.910,24.89,25.13,True
0,nba.g.2024020604,2024-02-06-10:00,Minnesota,Chicago,"-4.5, O/U 215.5",215.5,83.97,84.84,-115,1.870,True,215.5,16.03,15.16,-105,1.950,False,-200,1.500,74.65,84.42,False,165,2.650,25.34,15.58,True,-4.5,-115,1.870,77.95,74.9,False,4.5,-105,1.950,22.05,25.1,True
0,nba.g.2024020611,2024-02-06-10:00,Houston,Indiana,"-7.5, O/U 244.5",244.5,46.95,49.71,-110,1.910,True,244.5,53.06,50.29,-110,1.910,False,260,3.600,9.55,6.77,False,-350,1.300,90.44,93.23,True,7.5,-105,1.950,28.44,29.37,True,-7.5,-115,1.870,71.56,70.63,False
0,nba.g.2024020614,2024-02-06-10:00,Orlando,Miami,"-3.5, O/U 214.5",214.5,78.44,80.5,-110,1.910,True,214.5,21.56,19.5,-110,1.910,False,125,2.250,13.79,15.5,False,-150,1.670,86.2,84.5,True,3.5,-115,1.870,48.02,45.79,False,-3.5,-105,1.950,51.98,54.21,True
0,nba.g.2024020617,2024-02-06-10:00,Dallas,Brooklyn,"-2.5, O/U 236.5",236.5,77.52,76.2,-110,1.910,False,236.5,22.48,23.8,-110,1.910,True,-145,1.700,90.57,80.5,True,120,2.200,9.43,19.5,False,-2.5,-115,1.870,68.7,73.72,True,2.5,-105,1.950,31.3,26.28,False
0,nba.g.2024020618,2024-02-06-10:00,Memphis,New York,"-13.5, O/U 213.5",213.5,84.64,85.21,-105,1.950,True,213.5,15.37,14.79,-115,1.870,False,650,7.500,18.16,5.49,False,-1000,1.100,81.84,94.51,True,13.5,-115,1.870,41.35,39.36,True,-13.5,-105,1.950,58.65,60.64,False
0,nba.g.2024020621,2024-02-06-10:00,Milwaukee,Phoenix,"-5.5, O/U 242.5",242.5,59.36,61.16,-110,1.910,False,242.5,40.65,38.84,-110,1.910,True,185,2.850,47.27,22.73,False,-225,1.440,52.73,77.27,True,5.5,-105,1.950,54.77,51.73,False,-5.5,-115,1.870,45.23,48.27,True
